lat, lon, elevation
16.11591,108.231188,3.435593605041504
16.115912,108.23119,3.462507963180542
16.115914,108.231192,3.483381271362305
16.115916,108.231194,3.491452217102051
16.115918,108.231196,3.498862266540527
16.11592,108.231198,3.505611658096313
16.115922,108.2312,3.511699914932251
16.115924,108.231202,3.517127275466919
16.115926,108.231204,3.521893978118896
16.115928,108.231206,3.525999546051025
16.11593,108.231208,3.529444456100464
16.115932,108.23121,3.532228469848633
16.115934,108.231212,3.535987854003906
16.115936,108.231214,3.539541959762573
16.115938,108.231216,3.541898250579834
16.11594,108.231218,3.543056488037109
16.115942,108.23122,3.54301643371582
16.115944,108.231222,3.541778564453125
16.115946,108.231224,3.539342403411865
16.115948,108.231226,3.535708427429199
16.11595,108.231228,3.530876159667969
16.115952,108.23123,3.524845838546753
