lat, lon
1792107.11,12035322.374
1792107.11,12035322.374
1792107.11,12035322.374
1792107.11,12035324.228
1792107.11,12035324.228
1792107.11,12035324.228
1792107.11,12035324.228
1792107.11,12035324.228
1792108.964,12035324.228
1792108.964,12035324.228
1792108.964,12035324.228
1792108.964,12035326.082
1792108.964,12035326.082
1792108.964,12035326.082
1792108.964,12035326.082
1792108.964,12035326.082
1792108.964,12035326.082
1792110.818,12035326.082
1792110.818,12035326.082
1792110.818,12035327.936
1792110.818,12035327.936
1792110.818,12035327.936
1792110.818,12035327.936
1792110.818,12035327.936
1792110.818,12035327.936
1792112.672,12035327.936
1792112.672,12035327.936
1792112.672,12035327.936
1792112.672,12035329.79
1792112.672,12035329.79
1792112.672,12035329.79
1792112.672,12035329.79
1792112.672,12035329.79
1792114.526,12035329.79
1792114.526,12035329.79
1792114.526,12035329.79
1792114.526,12035331.644
1792114.526,12035331.644
1792114.526,12035331.644
1792114.526,12035331.644
1792114.526,12035331.644
1792114.526,12035331.644
1792116.38,12035331.644
1792116.38,12035331.644
1792116.38,12035333.498
1792116.38,12035333.498
1792116.38,12035333.498
1792116.38,12035333.498
1792116.38,12035333.498
1792116.38,12035333.498
1792118.234,12035333.498
1792118.234,12035333.498
1792118.234,12035333.498
1792118.234,12035335.352
1792118.234,12035335.352
1792118.234,12035335.352
1792118.234,12035335.352
1792118.234,12035335.352
1792120.088,12035335.352
1792120.088,12035335.352
1792120.088,12035335.352
1792120.088,12035337.206
1792120.088,12035337.206
1792120.088,12035337.206
1792120.088,12035337.206
1792120.088,12035337.206
1792120.088,12035337.206
1792121.942,12035337.206
1792121.942,12035337.206
1792121.942,12035339.06
1792121.942,12035339.06
1792121.942,12035339.06
1792121.942,12035339.06
1792121.942,12035339.06
1792121.942,12035339.06
1792123.796,12035339.06
1792123.796,12035339.06
1792123.796,12035339.06
1792123.796,12035340.914
1792123.796,12035340.914
1792123.796,12035340.914
1792123.796,12035340.914
1792123.796,12035340.914
1792125.65,12035340.914
1792125.65,12035340.914
1792125.65,12035340.914
1792125.65,12035342.768
1792125.65,12035342.768
1792125.65,12035342.768
1792125.65,12035342.768
1792125.65,12035342.768
1792125.65,12035342.768
1792127.504,12035342.768
1792127.504,12035342.768
1792127.504,12035344.622
1792127.504,12035344.622
1792127.504,12035344.622
1792127.504,12035344.622
1792127.504,12035344.622
1792127.504,12035344.622
1792129.358,12035344.622
1792129.358,12035344.622
1792129.358,12035344.622
1792129.358,12035346.476
1792129.358,12035346.476
1792129.358,12035346.476
1792129.358,12035346.476
1792129.358,12035346.476
1792131.212,12035346.476
1792131.212,12035346.476
1792131.212,12035346.476
1792131.212,12035348.33
1792131.212,12035348.33
1792131.212,12035348.33
1792131.212,12035348.33
1792131.212,12035348.33
1792131.212,12035348.33
1792133.066,12035348.33
1792133.066,12035348.33
1792133.066,12035350.184
1792133.066,12035350.184
1792133.066,12035350.184
1792133.066,12035350.184
1792133.066,12035350.184
1792133.066,12035350.184
1792134.92,12035350.184
1792134.92,12035350.184
1792134.92,12035350.184
1792134.92,12035352.038
1792134.92,12035352.038
1792134.92,12035352.038
1792134.92,12035352.038
1792134.92,12035352.038
1792136.774,12035352.038
1792136.774,12035352.038
1792136.774,12035352.038
1792136.774,12035353.892
1792136.774,12035353.892
1792136.774,12035353.892
1792136.774,12035353.892
1792136.774,12035353.892
1792136.774,12035353.892
1792138.628,12035353.892
1792138.628,12035353.892
1792138.628,12035355.746
1792138.628,12035355.746
1792138.628,12035355.746
1792138.628,12035355.746
1792138.628,12035355.746
1792138.628,12035355.746
1792140.482,12035355.746
1792140.482,12035355.746
1792140.482,12035355.746
1792140.482,12035357.6
1792140.482,12035357.6
1792140.482,12035357.6
1792140.482,12035357.6
1792140.482,12035357.6
